name_cap_2,num_rom_ca,Shape_Leng,Shape_Area
SOUTHERN CROSS-SW,2735-I-SW,60361.28380000000,226336257.53400001000
MARVEL LOCH-NW,2735-II-NW,60404.37960000000,226636095.19200000000
BAGOT-NW,2730-I-NW,61227.73920000000,232364593.14700001000
BAGOT-SW,2730-I-SW,61276.23040000000,232701969.12700000000
JACUP-NW,2730-II-NW,61325.02200000000,233041435.13000000000
JACUP-SW,2730-II-SW,61374.11620000000,233383006.46300000000
BLAND-NW,2729-I-NW,61423.51470000000,233726695.09700000000
BLAND-SW,2729-I-SW,61473.21920000000,234072512.72000000000
BREMER-NW,2729-II-NW,61523.23180000000,234420473.79400000000
BREMER-SW,2729-II-SW,61573.55380000000,234770587.50799999000
CAPE KNOB-NW,2728-I-NW,61624.18780000000,235122871.95300001000
CORINTHIA-NE,2735-IV-NE,60318.45620000000,226038285.63600001000
CORINTHIA-SE,2735-IV-SE,60361.28360000000,226336255.90700001000
MOORINE ROCK-NE,2735-III-NE,60404.37940000000,226636093.56299999000
CAMERON CREEK-NE,2730-IV-NE,61227.73940000000,232364594.81700000000
CAMERON CREEK-SE,2730-IV-SE,61276.23060000000,232701970.79899999000
TWERTUP-NE,2730-III-NE,61325.02220000000,233041436.80500001000
TWERTUP-SE,2730-III-SE,61374.11630000000,233383007.30100000000
DARLINGUP-NE,2729-IV-NE,61423.51460000000,233726694.25799999000
DARLINGUP-SE,2729-IV-SE,61473.21900000000,234072511.03700000000
WARRAMURRUP-NE,2729-III-NE,61523.23160000000,234420472.10900000000
WARRAMURRUP-SE,2729-III-SE,61573.55360000000,234770585.82100001000
SMOOTH ROCKS-NE,2728-IV-NE,61624.18760000000,235122870.26400000000
JACKSON-SW,2737-IV-SW,60026.05520000000,224003914.99100000000
BULLFINCH-SW,2736-III-SW,60275.89580000000,225742173.23899999000
MOORINE ROCK-NW,2735-III-NW,60404.37950000000,226636094.37700000000
NEWDEGATE-NW,2731-IV-NW,61036.74660000000,231035768.21599999000
CAMERON CREEK-NW,2730-IV-NW,61227.73920000000,232364593.14700001000
CAMERON CREEK-SW,2730-IV-SW,61276.23040000000,232701969.12700000000
TWERTUP-NW,2730-III-NW,61325.02200000000,233041435.13000000000
TWERTUP-SW,2730-III-SW,61374.11620000000,233383006.60600001000
DARLINGUP-NW,2729-IV-NW,61423.51490000000,233726696.63299999000
DARLINGUP-SW,2729-IV-SW,61473.21920000000,234072512.72000000000
WARRAMURRUP-NW,2729-III-NW,61523.23180000000,234420473.79400000000
WARRAMURRUP-SW,2729-III-SW,61573.55380000000,234770587.50799999000
HIGHCLERE-SE,2636-II-SE,60275.89560000000,225742171.61700001000
BODALLIN-NE,2635-II-NE,60404.37950000000,226636094.37700000000
ECLIPSE LAKE-SE,2632-II-SE,60989.73310000000,230708673.41999999000
LAKE BIDDY-NE,2631-I-NE,61036.74680000000,231035769.87599999000
JERRAMUNGUP-SE,2630-II-SE,61374.11600000000,233383005.07100001000
PENIUP-NE,2629-I-NE,61423.51480000000,233726695.64899999000
PENIUP-SE,2629-I-SE,61473.21900000000,234072511.03700000000
MOUNT GROPER-NE,2629-II-NE,61523.23160000000,234420472.10900000000
MOUNT GROPER-SE,2629-II-SE,61573.55360000000,234770585.82100001000
CAPE RICHE-NE,2628-I-NE,61624.18770000000,235122871.10800001000
YOUANMI-NW,2640-I-NW,59516.09080000000,220455853.91999999000
BOODAROCKIN-NW,2635-I-NW,60318.45620000000,226038285.86899999000
BODALLIN-NW,2635-II-NW,60404.37940000000,226636093.56299999000
BODALLIN-SW,2635-II-SW,60447.74500000000,226937808.34400001000
HYDEN-SW,2633-II-SW,60804.56420000000,229420366.81999999000
ECLIPSE LAKE-SW,2632-II-SW,60989.73300000000,230708672.59099999000
LAKE BIDDY-NW,2631-I-NW,61036.74660000000,231035768.21599999000
JERRAMUNGUP-SW,2630-II-SW,61374.11630000000,233383007.44400001000
PENIUP-NW,2629-I-NW,61423.51490000000,233726696.63299999000
PENIUP-SW,2629-I-SW,61473.21930000000,234072513.41499999000
MOUNT GROPER-NW,2629-II-NW,61523.23170000000,234420472.95100001000
MOUNT GROPER-SW,2629-II-SW,61573.55360000000,234770585.82100001000
CAPE RICHE-NW,2628-I-NW,61624.18760000000,235122870.26400000000
CAPE RICHE-SW,2628-I-SW,61675.13480000000,235477333.78500000000
PORT HEDLAND-NE,2657-III-NE,57505.16300000000,206464887.80000001000
PORT HEDLAND-SE,2657-III-SE,57529.21790000000,206632249.04699999000
PEAK HILL-SE,2646-IV-SE,58711.76060000000,214859752.17199999000
GABANINTHA-SE,2644-III-SE,59046.74640000000,217190405.20600000000
WARRALAKIN-NE,2635-IV-NE,60318.45610000000,226038284.94000000000
WESTONIA-NE,2635-III-NE,60404.37960000000,226636095.19200000000
WESTONIA-SE,2635-III-SE,60447.74520000000,226937809.97499999000
DRYDEN HILL-SE,2633-III-SE,60804.56400000000,229420365.17199999000
PEDERAH-NE,2632-IV-NE,60850.42660000000,229739452.75000000000
